INFO | 
INFO | 2019.01.19 - 22h:58m:12s
INFO | main.py --gpu 2 --version m1_t1_1 --shuffle True --batch_size 32 --num_epoch 100 --lr 0.00013
INFO |  -------------------- setting --------------------
INFO | 
INFO |     version : m1_t1_1
INFO |     model save path : saved_model/
INFO |     gpu : 2
INFO |     number of epochs : 100
INFO |     batch size : 32
INFO |     learning rate : 0.00013
INFO |     data path : dataset/
INFO | 
INFO |  -------------------- setting --------------------
INFO | 
INFO |  ------- model training start ------- 
DEBUG |     epoch :  1/100   iteration :   10/ 793   loss : 7.54356
DEBUG |     epoch :  1/100   iteration :   20/ 793   loss : 6.00807
DEBUG |     epoch :  1/100   iteration :   30/ 793   loss : 5.67437
DEBUG |     epoch :  1/100   iteration :   40/ 793   loss : 6.14642
DEBUG |     epoch :  1/100   iteration :   50/ 793   loss : 5.79553
DEBUG |     epoch :  1/100   iteration :   60/ 793   loss : 6.52909
DEBUG |     epoch :  1/100   iteration :   70/ 793   loss : 6.10150
DEBUG |     epoch :  1/100   iteration :   80/ 793   loss : 5.82709
DEBUG |     epoch :  1/100   iteration :   90/ 793   loss : 5.83508
DEBUG |     epoch :  1/100   iteration :  100/ 793   loss : 5.92204
DEBUG |     epoch :  1/100   iteration :  110/ 793   loss : 6.02606
DEBUG |     epoch :  1/100   iteration :  120/ 793   loss : 5.88406
DEBUG |     epoch :  1/100   iteration :  130/ 793   loss : 6.08718
DEBUG |     epoch :  1/100   iteration :  140/ 793   loss : 6.07546
DEBUG |     epoch :  1/100   iteration :  150/ 793   loss : 6.26601
DEBUG |     epoch :  1/100   iteration :  160/ 793   loss : 5.74648
DEBUG |     epoch :  1/100   iteration :  170/ 793   loss : 5.98107
DEBUG |     epoch :  1/100   iteration :  180/ 793   loss : 5.87278
DEBUG |     epoch :  1/100   iteration :  190/ 793   loss : 5.68034
DEBUG |     epoch :  1/100   iteration :  200/ 793   loss : 5.88459
DEBUG |     epoch :  1/100   iteration :  210/ 793   loss : 5.95776
DEBUG |     epoch :  1/100   iteration :  220/ 793   loss : 6.04111
DEBUG |     epoch :  1/100   iteration :  230/ 793   loss : 5.60624
DEBUG |     epoch :  1/100   iteration :  240/ 793   loss : 5.75653
DEBUG |     epoch :  1/100   iteration :  250/ 793   loss : 5.63688
DEBUG |     epoch :  1/100   iteration :  260/ 793   loss : 5.65656
DEBUG |     epoch :  1/100   iteration :  270/ 793   loss : 5.48316
DEBUG |     epoch :  1/100   iteration :  280/ 793   loss : 5.72049
DEBUG |     epoch :  1/100   iteration :  290/ 793   loss : 5.68194
DEBUG |     epoch :  1/100   iteration :  300/ 793   loss : 5.94209
DEBUG |     epoch :  1/100   iteration :  310/ 793   loss : 5.57759
DEBUG |     epoch :  1/100   iteration :  320/ 793   loss : 5.94641
DEBUG |     epoch :  1/100   iteration :  330/ 793   loss : 5.60225
DEBUG |     epoch :  1/100   iteration :  340/ 793   loss : 5.57073
DEBUG |     epoch :  1/100   iteration :  350/ 793   loss : 5.48117
DEBUG |     epoch :  1/100   iteration :  360/ 793   loss : 5.90648
DEBUG |     epoch :  1/100   iteration :  370/ 793   loss : 5.38479
DEBUG |     epoch :  1/100   iteration :  380/ 793   loss : 5.78936
DEBUG |     epoch :  1/100   iteration :  390/ 793   loss : 5.56375
DEBUG |     epoch :  1/100   iteration :  400/ 793   loss : 5.70218
DEBUG |     epoch :  1/100   iteration :  410/ 793   loss : 5.62819
DEBUG |     epoch :  1/100   iteration :  420/ 793   loss : 5.57601
DEBUG |     epoch :  1/100   iteration :  430/ 793   loss : 5.78385
DEBUG |     epoch :  1/100   iteration :  440/ 793   loss : 6.12514
DEBUG |     epoch :  1/100   iteration :  450/ 793   loss : 5.85817
DEBUG |     epoch :  1/100   iteration :  460/ 793   loss : 5.93481
DEBUG |     epoch :  1/100   iteration :  470/ 793   loss : 6.01958
DEBUG |     epoch :  1/100   iteration :  480/ 793   loss : 5.82263
DEBUG |     epoch :  1/100   iteration :  490/ 793   loss : 5.69431
DEBUG |     epoch :  1/100   iteration :  500/ 793   loss : 5.53263
DEBUG |     epoch :  1/100   iteration :  510/ 793   loss : 5.78776
DEBUG |     epoch :  1/100   iteration :  520/ 793   loss : 5.81034
DEBUG |     epoch :  1/100   iteration :  530/ 793   loss : 6.00904
DEBUG |     epoch :  1/100   iteration :  540/ 793   loss : 5.79080
DEBUG |     epoch :  1/100   iteration :  550/ 793   loss : 6.04504
DEBUG |     epoch :  1/100   iteration :  560/ 793   loss : 5.77616
DEBUG |     epoch :  1/100   iteration :  570/ 793   loss : 5.50715
DEBUG |     epoch :  1/100   iteration :  580/ 793   loss : 5.80344
DEBUG |     epoch :  1/100   iteration :  590/ 793   loss : 5.90568
DEBUG |     epoch :  1/100   iteration :  600/ 793   loss : 5.72786
DEBUG |     epoch :  1/100   iteration :  610/ 793   loss : 5.74882
DEBUG |     epoch :  1/100   iteration :  620/ 793   loss : 5.69972
DEBUG |     epoch :  1/100   iteration :  630/ 793   loss : 5.74571
DEBUG |     epoch :  1/100   iteration :  640/ 793   loss : 6.01222
DEBUG |     epoch :  1/100   iteration :  650/ 793   loss : 5.88673
DEBUG |     epoch :  1/100   iteration :  660/ 793   loss : 5.84643
DEBUG |     epoch :  1/100   iteration :  670/ 793   loss : 5.79081
DEBUG |     epoch :  1/100   iteration :  680/ 793   loss : 5.71304
DEBUG |     epoch :  1/100   iteration :  690/ 793   loss : 5.98802
DEBUG |     epoch :  1/100   iteration :  700/ 793   loss : 5.44611
DEBUG |     epoch :  1/100   iteration :  710/ 793   loss : 5.64874
DEBUG |     epoch :  1/100   iteration :  720/ 793   loss : 5.78128
DEBUG |     epoch :  1/100   iteration :  730/ 793   loss : 5.80062
DEBUG |     epoch :  1/100   iteration :  740/ 793   loss : 6.21038
DEBUG |     epoch :  1/100   iteration :  750/ 793   loss : 5.55878
DEBUG |     epoch :  1/100   iteration :  760/ 793   loss : 5.62691
DEBUG |     epoch :  1/100   iteration :  770/ 793   loss : 5.89497
DEBUG |     epoch :  1/100   iteration :  780/ 793   loss : 5.93387
DEBUG |     epoch :  1/100   iteration :  790/ 793   loss : 5.50822
INFO |  ------- m1_t1_1 evaluation file made --------
INFO |     epoch 1/100 done | avg.loss : 5.83110
DEBUG |     epoch :  2/100   iteration :   10/ 793   loss : 5.45290
DEBUG |     epoch :  2/100   iteration :   20/ 793   loss : 5.47055
DEBUG |     epoch :  2/100   iteration :   30/ 793   loss : 5.72742
DEBUG |     epoch :  2/100   iteration :   40/ 793   loss : 5.54347
DEBUG |     epoch :  2/100   iteration :   50/ 793   loss : 5.75798
DEBUG |     epoch :  2/100   iteration :   60/ 793   loss : 5.65786
DEBUG |     epoch :  2/100   iteration :   70/ 793   loss : 5.60931
DEBUG |     epoch :  2/100   iteration :   80/ 793   loss : 5.65677
DEBUG |     epoch :  2/100   iteration :   90/ 793   loss : 5.45996
DEBUG |     epoch :  2/100   iteration :  100/ 793   loss : 5.81484
DEBUG |     epoch :  2/100   iteration :  110/ 793   loss : 5.67544
DEBUG |     epoch :  2/100   iteration :  120/ 793   loss : 5.84893
DEBUG |     epoch :  2/100   iteration :  130/ 793   loss : 5.44308
DEBUG |     epoch :  2/100   iteration :  140/ 793   loss : 6.13922
DEBUG |     epoch :  2/100   iteration :  150/ 793   loss : 5.45429
DEBUG |     epoch :  2/100   iteration :  160/ 793   loss : 5.82264
DEBUG |     epoch :  2/100   iteration :  170/ 793   loss : 5.12923
DEBUG |     epoch :  2/100   iteration :  180/ 793   loss : 5.56133
DEBUG |     epoch :  2/100   iteration :  190/ 793   loss : 5.70847
DEBUG |     epoch :  2/100   iteration :  200/ 793   loss : 5.75752
DEBUG |     epoch :  2/100   iteration :  210/ 793   loss : 5.77074
DEBUG |     epoch :  2/100   iteration :  220/ 793   loss : 5.80316
DEBUG |     epoch :  2/100   iteration :  230/ 793   loss : 5.34260
DEBUG |     epoch :  2/100   iteration :  240/ 793   loss : 5.85533
DEBUG |     epoch :  2/100   iteration :  250/ 793   loss : 5.25733
DEBUG |     epoch :  2/100   iteration :  260/ 793   loss : 5.75784
DEBUG |     epoch :  2/100   iteration :  270/ 793   loss : 5.53810
DEBUG |     epoch :  2/100   iteration :  280/ 793   loss : 5.54518
DEBUG |     epoch :  2/100   iteration :  290/ 793   loss : 5.85170
DEBUG |     epoch :  2/100   iteration :  300/ 793   loss : 5.29354
DEBUG |     epoch :  2/100   iteration :  310/ 793   loss : 5.26988
DEBUG |     epoch :  2/100   iteration :  320/ 793   loss : 5.55139
DEBUG |     epoch :  2/100   iteration :  330/ 793   loss : 5.49084
DEBUG |     epoch :  2/100   iteration :  340/ 793   loss : 5.67709
DEBUG |     epoch :  2/100   iteration :  350/ 793   loss : 5.99923
DEBUG |     epoch :  2/100   iteration :  360/ 793   loss : 5.71193
DEBUG |     epoch :  2/100   iteration :  370/ 793   loss : 5.66521
DEBUG |     epoch :  2/100   iteration :  380/ 793   loss : 5.33250
DEBUG |     epoch :  2/100   iteration :  390/ 793   loss : 5.68198
DEBUG |     epoch :  2/100   iteration :  400/ 793   loss : 5.97044
DEBUG |     epoch :  2/100   iteration :  410/ 793   loss : 5.35985
DEBUG |     epoch :  2/100   iteration :  420/ 793   loss : 5.56258
DEBUG |     epoch :  2/100   iteration :  430/ 793   loss : 5.53100
